New best length: 25689.0473 with params: {'alpha': 1.8064613963070673, 'beta': 1.2342331587644233, 'rho': 0.21949392715789767, 'q': 5.143856699036198}, avg=25859.1157 and median=25879.4305
New best length: 25538.4635 with params: {'alpha': 1.8064613963070673, 'beta': 1.2342331587644233, 'rho': 0.21949392715789767, 'q': 51.438566990361984}, avg=25881.7269 and median=25897.2258
New best length: 26085.1559 with params: {'alpha': 0.5, 'beta': 1.2342331587644233, 'rho': 0.21949392715789767, 'q': 39.86488941753054}, avg=26327.5289 and median=26350.7822
New best length: 26056.9098 with params: {'alpha': 0.875, 'beta': 1.2342331587644233, 'rho': 0.21949392715789767, 'q': 39.86488941753054}, avg=26236.8703 and median=26250.7746
New best length: 25858.2757 with params: {'alpha': 1.25, 'beta': 1.2342331587644233, 'rho': 0.21949392715789767, 'q': 39.86488941753054}, avg=26028.3523 and median=26033.7669
New best length: 25609.8483 with params: {'alpha': 1.625, 'beta': 1.2342331587644233, 'rho': 0.21949392715789767, 'q': 39.86488941753054}, avg=25945.7427 and median=25967.7635
New best length: 25805.5606 with params: {'alpha': 2.0, 'beta': 1.2342331587644233, 'rho': 0.2, 'q': 39.86488941753054}, avg=25944.9096 and median=25942.2169
New best length: 25782.9881 with params: {'alpha': 2.0, 'beta': 1.2342331587644233, 'rho': 0.225, 'q': 39.86488941753054}, avg=25949.2900 and median=25899.0778
New best length: 25530.6750 with params: {'alpha': 2.0, 'beta': 1.2342331587644233, 'rho': 0.25, 'q': 39.86488941753054}, avg=25851.6254 and median=25905.9463
New best length: 25869.9381 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.3, 'q': 39.86488941753054}, avg=25936.7222 and median=25913.8853
New best length: 25624.5481 with params: {'alpha': 2.0, 'beta': 1.5, 'rho': 0.3, 'q': 39.86488941753054}, avg=25831.9572 and median=25825.0500
New best length: 25256.3430 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.3, 'q': 39.86488941753054}, avg=25620.3504 and median=25631.1670
New best length: 25135.8111 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.3, 'q': 39.86488941753054}, avg=25450.6426 and median=25452.8754
Cycle 1: params={'alpha': 2.0, 'beta': 3.0, 'rho': 0.3, 'q': 39.86488941753054}, best_avg=25450.6426, best_median=25452.8754
New best length: 25276.4893 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.3, 'q': 5.143856699036198}, avg=25423.1505 and median=25421.7455
New best length: 25233.9513 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.3, 'q': 16.717534271867645}, avg=25391.2360 and median=25397.8147
New best length: 25227.6111 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.3, 'q': 28.29121184469909}, avg=25437.1775 and median=25393.2782
New best length: 25188.8665 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.3, 'q': 39.86488941753054}, avg=25422.0413 and median=25458.9299
New best length: 25142.9413 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.3, 'q': 51.438566990361984}, avg=25368.7518 and median=25349.5832
New best length: 25731.4969 with params: {'alpha': 0.5, 'beta': 3.0, 'rho': 0.3, 'q': 51.438566990361984}, avg=25825.7199 and median=25819.8507
New best length: 25359.7000 with params: {'alpha': 0.875, 'beta': 3.0, 'rho': 0.3, 'q': 51.438566990361984}, avg=25571.3147 and median=25557.5334
New best length: 25187.3410 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.3, 'q': 51.438566990361984}, avg=25437.8244 and median=25398.6275
New best length: 25111.7841 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.2, 'q': 51.438566990361984}, avg=25362.8319 and median=25326.0940
New best length: 24995.4747 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.25, 'q': 51.438566990361984}, avg=25394.6027 and median=25449.1977
New best length: 25803.0808 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.2, 'q': 51.438566990361984}, avg=25973.9226 and median=25997.5023
New best length: 25555.7904 with params: {'alpha': 2.0, 'beta': 1.5, 'rho': 0.2, 'q': 51.438566990361984}, avg=25746.5810 and median=25789.6561
New best length: 25525.8911 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.2, 'q': 51.438566990361984}, avg=25650.2215 and median=25635.7036
New best length: 25287.6818 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.2, 'q': 51.438566990361984}, avg=25521.5029 and median=25571.8159
New best length: 25273.8848 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.2, 'q': 51.438566990361984}, avg=25482.7331 and median=25486.3749
New best length: 25420.5370 with params: {'alpha': 1.5831160935932604, 'beta': 2.213677566648166, 'rho': 0.24112291518736212, 'q': 5.143856699036198}, avg=25646.0666 and median=25675.3432
New best length: 25406.8156 with params: {'alpha': 1.5831160935932604, 'beta': 2.213677566648166, 'rho': 0.2, 'q': 16.717534271867645}, avg=25631.6011 and median=25655.1372
New best length: 25378.3442 with params: {'alpha': 1.5831160935932604, 'beta': 2.213677566648166, 'rho': 0.225, 'q': 16.717534271867645}, avg=25645.1288 and median=25637.4595
New best length: 25502.2448 with params: {'alpha': 0.5, 'beta': 2.671407636454874, 'rho': 0.26440450546001526, 'q': 39.56525617756919}, avg=25848.0077 and median=25872.1183
New best length: 25486.3978 with params: {'alpha': 0.875, 'beta': 2.671407636454874, 'rho': 0.26440450546001526, 'q': 39.56525617756919}, avg=25737.0466 and median=25727.0004
New best length: 25336.5737 with params: {'alpha': 1.625, 'beta': 2.671407636454874, 'rho': 0.26440450546001526, 'q': 39.56525617756919}, avg=25474.1901 and median=25461.5592
New best length: 25218.5818 with params: {'alpha': 2.0, 'beta': 2.671407636454874, 'rho': 0.26440450546001526, 'q': 39.56525617756919}, avg=25429.7768 and median=25439.8805
New best length: 25093.4564 with params: {'alpha': 2.0, 'beta': 2.671407636454874, 'rho': 0.26440450546001526, 'q': 5.143856699036198}, avg=25410.5693 and median=25405.3449
New best length: 25361.4449 with params: {'alpha': 2.0, 'beta': 2.671407636454874, 'rho': 0.2, 'q': 16.717534271867645}, avg=25498.9536 and median=25485.7460
New best length: 25111.8287 with params: {'alpha': 2.0, 'beta': 2.671407636454874, 'rho': 0.225, 'q': 16.717534271867645}, avg=25476.0519 and median=25538.8476
New best length: 25772.4144 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25937.4053 and median=25944.1470
New best length: 25523.8823 with params: {'alpha': 2.0, 'beta': 1.5, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25806.2793 and median=25817.9060
New best length: 25366.4374 with params: {'alpha': 2.0, 'beta': 2.5, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25622.4514 and median=25636.6308
New best length: 25193.2025 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25425.4403 and median=25412.7729
Cycle 1: params={'alpha': 2.0, 'beta': 2.671407636454874, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, best_avg=25414.2140, best_median=25386.7046
New best length: 25734.8782 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25913.8798 and median=25900.9434
New best length: 25569.7378 with params: {'alpha': 2.0, 'beta': 1.5, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25789.3973 and median=25809.2397
New best length: 25267.0920 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25513.4434 and median=25533.7356
New best length: 25263.2769 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25445.6335 and median=25455.1893
New best length: 25608.1333 with params: {'alpha': 0.5, 'beta': 3.0, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25769.1860 and median=25780.5634
New best length: 25414.2155 with params: {'alpha': 0.875, 'beta': 3.0, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25596.0658 and median=25602.1490
New best length: 25406.3946 with params: {'alpha': 1.25, 'beta': 3.0, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25559.1592 and median=25543.7864
New best length: 25288.2217 with params: {'alpha': 1.625, 'beta': 3.0, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25426.5132 and median=25430.5189
New best length: 25219.6425 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.26440450546001526, 'q': 16.717534271867645}, avg=25426.2158 and median=25401.9927
New best length: 25234.6709 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.26440450546001526, 'q': 5.143856699036198}, avg=25388.4971 and median=25374.2696
New best length: 25071.6639 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.26440450546001526, 'q': 28.29121184469909}, avg=25349.6527 and median=25333.1783
New best length: 25266.7261 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.2, 'q': 28.29121184469909}, avg=25433.5831 and median=25440.2968
New best length: 25110.3696 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.225, 'q': 28.29121184469909}, avg=25438.0638 and median=25448.9201
New best length: 25054.6989 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.25, 'q': 28.29121184469909}, avg=25364.0235 and median=25377.2688
Cycle 2: params={'alpha': 2.0, 'beta': 3.0, 'rho': 0.26440450546001526, 'q': 28.29121184469909}, best_avg=25349.6527, best_median=25333.1783
New best length: 25245.6281 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.2, 'q': 28.29121184469909}, avg=25382.4937 and median=25383.2672
New best length: 25239.4440 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.25, 'q': 28.29121184469909}, avg=25429.8219 and median=25425.8315
New best length: 25216.6828 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.275, 'q': 28.29121184469909}, avg=25407.2892 and median=25354.8072
New best length: 25378.7182 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.275, 'q': 5.143856699036198}, avg=25481.1168 and median=25451.1600
New best length: 25142.0306 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.275, 'q': 16.717534271867645}, avg=25409.4191 and median=25373.9020
New best length: 24991.5207 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.275, 'q': 28.29121184469909}, avg=25385.0472 and median=25423.9488
New best length: 25647.2770 with params: {'alpha': 0.5, 'beta': 3.0, 'rho': 0.275, 'q': 39.86488941753054}, avg=25781.4855 and median=25782.6457
