New best length: 120608.8504 with params: {'alpha': 0.6267184416858894, 'beta': 2.142230735631127, 'rho': 0.2, 'q': 137.07760937306261}, avg=122413.0184 and median=122796.5693
New best length: 120562.7368 with params: {'alpha': 0.6267184416858894, 'beta': 2.142230735631127, 'rho': 0.225, 'q': 137.07760937306261}, avg=122008.5776 and median=122139.3995
New best length: 122000.6485 with params: {'alpha': 0.6267184416858894, 'beta': 1.0, 'rho': 0.225, 'q': 137.07760937306261}, avg=123644.5929 and median=123244.3612
New best length: 121856.1736 with params: {'alpha': 0.6267184416858894, 'beta': 1.5, 'rho': 0.225, 'q': 137.07760937306261}, avg=123186.9657 and median=123089.8292
New best length: 120598.7816 with params: {'alpha': 0.6267184416858894, 'beta': 2.0, 'rho': 0.225, 'q': 137.07760937306261}, avg=122393.8859 and median=122199.7495
New best length: 120120.2162 with params: {'alpha': 0.6267184416858894, 'beta': 2.5, 'rho': 0.225, 'q': 137.07760937306261}, avg=122045.0767 and median=121968.9446
New best length: 120047.0160 with params: {'alpha': 0.6267184416858894, 'beta': 3.0, 'rho': 0.225, 'q': 137.07760937306261}, avg=121750.2372 and median=121639.5942
New best length: 120657.9987 with params: {'alpha': 0.6267184416858894, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=121681.0277 and median=121544.8403
New best length: 120492.7950 with params: {'alpha': 0.6267184416858894, 'beta': 3.0, 'rho': 0.225, 'q': 160.95547294574015}, avg=121471.4436 and median=121662.8245
New best length: 121770.4482 with params: {'alpha': 0.5, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=122777.5646 and median=122785.8445
New best length: 120220.0222 with params: {'alpha': 0.875, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=121380.4575 and median=121489.6625
New best length: 119273.5659 with params: {'alpha': 1.25, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=120388.8792 and median=120591.6746
New best length: 118969.3431 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=120083.6425 and median=120058.1118
Cycle 1: params={'alpha': 2.0, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, best_avg=120083.6425, best_median=120058.1118
New best length: 121701.6330 with params: {'alpha': 0.5, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=122804.7110 and median=122544.8221
New best length: 120211.1067 with params: {'alpha': 0.875, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=121695.4892 and median=121494.1771
New best length: 119480.6240 with params: {'alpha': 1.25, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=120477.7195 and median=120560.0245
New best length: 119038.5117 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=119601.6237 and median=119540.2666
New best length: 118828.6221 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=119882.1614 and median=119839.3733
New best length: 119250.3704 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=120576.3865 and median=120282.6876
New best length: 119248.5457 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.225, 'q': 49.52476090638159}, avg=120415.1064 and median=120565.6003
New best length: 119465.5259 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.2, 'q': 49.52476090638159}, avg=120464.5759 and median=120315.3264
New best length: 119240.5001 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.25, 'q': 49.52476090638159}, avg=120428.0460 and median=120285.1136
New best length: 119090.6009 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.3, 'q': 49.52476090638159}, avg=120412.3073 and median=120097.4728
Cycle 2: params={'alpha': 2.0, 'beta': 2.0, 'rho': 0.275, 'q': 49.52476090638159}, best_avg=120280.1920, best_median=119996.2800
New best length: 119519.8174 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.275, 'q': 49.52476090638159}, avg=120536.9346 and median=120311.2493
New best length: 119384.5041 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.275, 'q': 272.38618498509874}, avg=120288.2818 and median=120205.4191
New best length: 119331.9182 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.275, 'q': 383.8168970244573}, avg=120244.0247 and median=120270.3833
New best length: 119444.7894 with params: {'alpha': 2.0, 'beta': 1.5, 'rho': 0.275, 'q': 272.38618498509874}, avg=120613.7977 and median=120374.0298
New best length: 119294.8781 with params: {'alpha': 2.0, 'beta': 2.0, 'rho': 0.275, 'q': 272.38618498509874}, avg=120583.3529 and median=120409.0842
New best length: 119250.7192 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.275, 'q': 272.38618498509874}, avg=120177.7444 and median=120029.5851
New best length: 121307.5582 with params: {'alpha': 0.5, 'beta': 3.0, 'rho': 0.275, 'q': 272.38618498509874}, avg=122464.2919 and median=122572.1856
New best length: 119675.1042 with params: {'alpha': 0.875, 'beta': 3.0, 'rho': 0.275, 'q': 272.38618498509874}, avg=120887.4691 and median=120651.7553
New best length: 118805.2540 with params: {'alpha': 1.25, 'beta': 3.0, 'rho': 0.275, 'q': 272.38618498509874}, avg=120517.2774 and median=120489.6255
