New best length: 121268.9017 with params: {'alpha': 0.8186091614199913, 'beta': 1.6673038174324863, 'rho': 0.2, 'q': 237.03097381536776}, avg=121830.0809 and median=121716.1585
New best length: 120958.0842 with params: {'alpha': 0.8186091614199913, 'beta': 1.6673038174324863, 'rho': 0.225, 'q': 237.03097381536776}, avg=121950.8560 and median=121710.9242
New best length: 120493.6629 with params: {'alpha': 0.8186091614199913, 'beta': 1.6673038174324863, 'rho': 0.25, 'q': 237.03097381536776}, avg=121345.6827 and median=120891.3744
New best length: 119654.3881 with params: {'alpha': 1.5377984454126041, 'beta': 1.0, 'rho': 0.2636600392526119, 'q': 436.122556078508}, avg=120536.3279 and median=120292.5497
New best length: 118946.3485 with params: {'alpha': 1.5377984454126041, 'beta': 2.5, 'rho': 0.2636600392526119, 'q': 436.122556078508}, avg=120045.4184 and median=120406.7288
New best length: 120033.3599 with params: {'alpha': 1.5377984454126041, 'beta': 1.0, 'rho': 0.2636600392526119, 'q': 49.52476090638159}, avg=120742.9451 and median=120492.9784
New best length: 119733.7640 with params: {'alpha': 1.5377984454126041, 'beta': 1.0, 'rho': 0.2, 'q': 160.95547294574015}, avg=120477.5185 and median=120691.0894
New best length: 123290.8133 with params: {'alpha': 0.5, 'beta': 1.0, 'rho': 0.3, 'q': 160.95547294574015}, avg=124599.9000 and median=124476.4201
New best length: 122010.9058 with params: {'alpha': 0.875, 'beta': 1.0, 'rho': 0.3, 'q': 160.95547294574015}, avg=122501.3084 and median=122499.8528
New best length: 120082.7943 with params: {'alpha': 1.25, 'beta': 1.0, 'rho': 0.3, 'q': 160.95547294574015}, avg=121150.1330 and median=121015.0890
New best length: 119785.9946 with params: {'alpha': 1.625, 'beta': 1.0, 'rho': 0.3, 'q': 160.95547294574015}, avg=121095.4818 and median=121081.5601
Cycle 1: params={'alpha': 2.0, 'beta': 1.0, 'rho': 0.3, 'q': 160.95547294574015}, best_avg=121079.6229, best_median=120962.2239
New best length: 119583.3012 with params: {'alpha': 2.0, 'beta': 1.0, 'rho': 0.3, 'q': 160.95547294574015}, avg=120643.2867 and median=120398.3154
New best length: 119382.4988 with params: {'alpha': 2.0, 'beta': 1.5, 'rho': 0.3, 'q': 160.95547294574015}, avg=119912.9982 and median=119497.5381
New best length: 119252.8667 with params: {'alpha': 2.0, 'beta': 3.0, 'rho': 0.3, 'q': 160.95547294574015}, avg=120402.4239 and median=120386.1073
New best length: 119495.7288 with params: {'alpha': 2.0, 'beta': 1.5, 'rho': 0.2, 'q': 160.95547294574015}, avg=120357.6003 and median=120440.3193
